run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,940,0.5541380032896995,75.75987370000075,,,2.6359120000015537,1.578330702083349,,0.699999988079071,none,0.0377202108502388,0.0377202108502388,1.0,,0.6538690957069397,0.5547,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,960,0.5578989952802658,78.35112619999927,,,2.591252499998518,1.5990025755101893,,0.6200000047683716,none,0.04117762669920921,0.04117762669920921,1.0,,0.6724042590141296,0.5485,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,980,0.548159071803093,80.70541949999824,,,2.3542932999989716,1.6141083899999649,,0.699999988079071,none,0.04048824682831764,0.04048824682831764,1.0,,0.6532350449562073,0.5497,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1000,0.5452588975429535,81.83271260000038,,,1.1272931000021345,1.60456299215687,,0.6399999856948853,none,0.039046790450811386,0.039046790450811386,1.0,,0.6576068486213684,0.5628,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1020,0.5205993324518203,82.9011924999977,,,1.0684798999973282,1.5942537019230327,,0.7400000095367432,none,0.039925046265125275,0.039925046265125275,1.0,,0.6484444567680359,0.5589,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1040,0.5225178450345993,83.95110740000018,,,1.0499149000024772,1.5839831584905695,,0.7400000095367432,none,0.0393197126686573,0.0393197126686573,1.0,,0.6528875244140625,0.5569,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1060,0.5268824875354767,84.965748300001,,,1.0146409000008134,1.5734397833333518,,0.7199999690055847,none,0.04098031669855118,0.04098031669855118,1.0,,0.6577205857276917,0.5525,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1080,0.5388397559523582,86.02724029999808,,,1.061491999997088,1.564131641818147,,0.699999988079071,none,0.0376882329583168,0.0376882329583168,1.0,,0.6501520767211914,0.5567,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1100,0.5458837121725082,87.09068939999997,,,1.0634491000018897,1.5551908821428566,,0.699999988079071,none,0.036435410380363464,0.036435410380363464,1.0,,0.6553141054153442,0.5533,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1120,0.5160448089241981,88.24146330000076,,,1.150773900000786,1.5480958473684343,,0.6800000071525574,none,0.0353228785097599,0.0353228785097599,1.0,,0.6559964309692383,0.5549,,42,baseline
